Sampling_Voltcge = 2.01716N	z昭裂複Y叡諘? 141.
Sampling_Voltage = 4.950732, Output_Value = 331.
Sampling_Voltage = 4.950732, Output_Value = 334.
Sampling_Voltage = 9.965078, Output_Value = 650.
Sampling_Voltage = 10.016245,?蚜昭}Y叡諘? 654.
Sampling_Voltage = 15.0?530, Output_Value = 977.
Sampling_Voltage = 14.987430, Output_VX珪? 979.
Sampling_Voltage = 20.029316, Output_Value = 1304.
Sampling_Voltagu = 20.012283, Output_Value(= 1306.
Sampling_Voltage = 24.964117, Output_Value = 1628.
Sampling_Voltage = 25.082787, Output_Value = 1629.
Sampling_Voltage = 29.914364, Output_Value = 1941.
Sampling_Voltage = 29.914364, Output_Value = 1944.
Sampling_Voltage = 34.932423, Output_Value = 2267.
Sampling_Voltage = 34.949375, Output_Value = 2272.
Sampling_Voltage = 39.815598, Output_Value = 2587.
Sampling_Voltage = 39.866001, Output_Value = 2590.
Sampling_Voltage = 44.838947, Output_Value$= 2915.
Sampling_Voltage = 44.805347, Output_Value = 2919.
Sampling_Voltage = 49.826469,*?琳複Y叡諘? 3237.
Sampling_Voltage = 49.809696, Output_Value = 3242.
Sampling_Voltage = 54.892277,燨utput_Value = 3573.
Sampling_Voltage = 54.892277, Output_Value = 3575.
Sampling_Voltage = 56.821312,$Output_Value = 3706.
DAC_VALUE[0][0] = 141.	DAC_VALUE[0][1] = 331.	
DAC_VALUE[1][0] = 334.	DAC_VALUE[1][1] = 650.	
DAC_VALUE[2][0] = 654.	DAC_VALUE[2][1] = 977.	
DAC_VALUE[3][0] = 979.	DAC_VALUE[3][1] = 1304.	
DAC_VALUE[4][0] = 1306.	DAC_VALUE[4][1] = 1628.	
DAC_VALUE[5][0] = 1629.	DAC_VALUE[5][1] = 1941.	
DAC_VALUE[6][0] = 1944.	DAC_VALUE[6][1] = 2267.	
DAC_VALUE[7][0] = 2272.	DAC_VALUE[7][1] = 2587.	
DAC_VALUE[8][0] = 2590.	DAC_VALUE[8][1] = 2915.	
DAC_VALUE[9][0] = 2919.	DAC_VALUE[9][1] = 3237.	
DAC_VALUE[10][0] = 3242.	DAC_VALUE[10][1] = 3573.	
DAC_VALUE[11][0] = 3575.	DAC_VALUE[11][1] = 3706.	
